output_group,run_id,path,label,status,returncode,started_at,finished_at,wall_s,model_path,repeat,warmup_steps,strategy,compute_dtype,rollout_dtype,actor_param,ref_param,actor_optimizer,cpu_optimizer,activation,retain_between_rollout_log_prob,bucket_layout,bucket_mb,num_staging_buffers,async_d2h,early_grad_release,reuse_gpu_packing_buffers,direct_cpu_grad_buffers,cpu_grad_accumulation,overlap_h2d_with_cpu_update,telemetry,detail,sync,nsys,metric_steps,perf_actor_forward_total_wall_s_mean,perf_actor_backward_total_wall_s_mean,perf_actor_adam_step_total_wall_s_mean,perf_max_memory_allocated_gb_mean,perf_max_memory_reserved_gb_mean,timing_s_update_actor_mean,timing_s_step_mean,perf_throughput_mean
activation-fallback-smoke,C03_activation-r1,outputs/activation-fallback-smoke/C03_activation-r1,,ok,0,1785131386.0446904,1785131438.7776582,52.61873980984092,Qwen/Qwen2.5-0.5B-Instruct,1,1,,,,False,False,False,,True,,,,,,,,,,,,True,False,False,2,,,,11.066,11.375,1.7985,7.154,89.2055
activation-fallback-smoke,C15_all-r1,outputs/activation-fallback-smoke/C15_all-r1,,ok,0,1785131438.7785826,1785131500.0963001,61.15294451639056,Qwen/Qwen2.5-0.5B-Instruct,1,1,,,,True,True,True,,True,,,,,,,,,,,,True,False,False,2,,,,10.15,11.104,2.4695,8.681000000000001,73.50450000000001
activation-fixed-full,C03_activation-r1,outputs/activation-fixed-full/C03_activation-r1,,ok,0,1785131580.3515182,1785131825.9038405,245.53622181341052,Qwen/Qwen2.5-0.5B-Instruct,1,5,,,,False,False,False,,True,,,,,,,,,,,,False,False,False,25,,,,11.066,11.38352,1.86724,7.16132,93.9636
activation-fixed-full,C03_activation-r2,outputs/activation-fixed-full/C03_activation-r2,,ok,0,1785131825.904601,1785132071.1092126,245.0900587439537,Qwen/Qwen2.5-0.5B-Instruct,2,5,,,,False,False,False,,True,,,,,,,,,,,,False,False,False,25,,,,11.066,11.43056,1.92212,7.17936,92.1732
activation-fixed-full,C03_activation-r3,outputs/activation-fixed-full/C03_activation-r3,,ok,0,1785132071.1101556,1785132317.2481227,246.10542764514685,Qwen/Qwen2.5-0.5B-Instruct,3,5,,,,False,False,False,,True,,,,,,,,,,,,False,False,False,25,,,,11.066,11.40316,1.9358,7.16944,93.79084
activation-fixed-full,C11_ref_optimizer_activation-r1,outputs/activation-fixed-full/C11_ref_optimizer_activation-r1,,failed,1,1785132317.2490222,1785132514.9372475,197.47328655421734,Qwen/Qwen2.5-0.5B-Instruct,1,5,,,,False,True,True,,True,,,,,,,,,,,,False,False,False,14,,,,10.151,10.975857142857143,2.3775714285714287,8.229214285714285,82.03692857142858
activation-fixed-full,C11_ref_optimizer_activation-r2,outputs/activation-fixed-full/C11_ref_optimizer_activation-r2,,ok,0,1785132514.9381967,1785132793.5434787,278.3903313688934,Qwen/Qwen2.5-0.5B-Instruct,2,5,,,,False,True,True,,True,,,,,,,,,,,,False,False,False,25,,,,10.151,10.98824,2.36616,8.17396,82.29752
activation-fixed-full,C11_ref_optimizer_activation-r3,outputs/activation-fixed-full/C11_ref_optimizer_activation-r3,,ok,0,1785132793.5445182,1785133076.0772712,282.46639988571405,Qwen/Qwen2.5-0.5B-Instruct,3,5,,,,False,True,True,,True,,,,,,,,,,,,False,False,False,25,,,,10.151,10.96344,2.38244,8.33748,80.54332
activation-fixed-full,C15_all-r1,outputs/activation-fixed-full/C15_all-r1,,ok,0,1785133076.07826,1785133382.445014,306.3022168688476,Qwen/Qwen2.5-0.5B-Instruct,1,5,,,,True,True,True,,True,,,,,,,,,,,,False,False,False,25,,,,10.15,11.104,2.5872,9.07132,74.15652
activation-fixed-full,C15_all-r2,outputs/activation-fixed-full/C15_all-r2,,ok,0,1785133382.445954,1785133684.383376,301.7726625315845,Qwen/Qwen2.5-0.5B-Instruct,2,5,,,,True,True,True,,True,,,,,,,,,,,,False,False,False,25,,,,10.15,11.104,2.5524,8.92316,74.3516
activation-fixed-full,C15_all-r3,outputs/activation-fixed-full/C15_all-r3,,failed,1,1785133684.3843107,1785133711.3897176,26.97282599285245,Qwen/Qwen2.5-0.5B-Instruct,3,5,,,,True,True,True,,True,,,,,,,,,,,,False,False,False,0,,,,,,,,
actor-phase-async-smoke,PA-ASYNC-r1,outputs/actor-phase-async-smoke/PA-ASYNC-r1,Phase actor residency / async D2H CPU Adam,ok,0,1786000278.231881,1786000409.567293,131.22084198147058,Qwen/Qwen2.5-0.5B-Instruct,1,2,single_gpu_unwrapped,fp16,,True,True,False,False,False,True,True,64,2,True,True,,,False,False,,True,False,False,5,0.0806,0.9314,5.1236,3.235,4.875,7.0126,12.795,51.1476
all-gpu-memory-diagnostic-v1,R-GGG-MEMTRACE-r1,outputs/all-gpu-memory-diagnostic-v1/R-GGG-MEMTRACE-r1,All GPU residency / phase allocator trace,ok,0,1786080484.3747942,1786080536.7389634,52.149548560380936,Qwen/Qwen2.5-0.5B-Instruct,1,0,single_gpu_unwrapped,fp16,,False,False,False,False,False,,,,,,,,,,,,True,False,False,3,0.06533333333333334,0.259,0.09266666666666666,10.247666666666667,11.007666666666667,0.9616666666666667,6.894,91.225
all-gpu-memory-diagnostic-v2,R-GGG-MEMTRACE-r1,outputs/all-gpu-memory-diagnostic-v2/R-GGG-MEMTRACE-r1,All GPU residency / phase allocator trace,ok,0,1786080912.0252624,1786080970.079167,57.889429431408644,Qwen/Qwen2.5-0.5B-Instruct,1,0,single_gpu_unwrapped,fp16,,False,False,False,False,False,,,,,,,,,,,,True,False,False,3,0.06633333333333334,0.25766666666666665,0.09933333333333334,10.247666666666667,11.007666666666667,1.748,8.46,81.50766666666667
all-gpu-memory-diagnostic-v3,R-GGG-MEMTRACE-r1,outputs/all-gpu-memory-diagnostic-v3/R-GGG-MEMTRACE-r1,All GPU residency / phase allocator trace,ok,0,1786081002.5927138,1786081063.6498132,60.99296905845404,Qwen/Qwen2.5-0.5B-Instruct,1,0,single_gpu_unwrapped,fp16,,False,False,False,False,False,,,,,,,,,,,,True,False,False,3,0.06766666666666667,0.2573333333333333,0.09433333333333334,10.247666666666667,11.007666666666667,2.078333333333333,9.963000000000001,77.80266666666667
backward-nsys-rootcause-v1,NSYS-NOSTREAM-r1,outputs/backward-nsys-rootcause-v1/NSYS-NOSTREAM-r1,No-stream backward Nsight,ok,0,1786621741.6203012,1786622322.5967002,580.9441996775568,Qwen/Qwen2.5-0.5B-Instruct,1,2,single_gpu_unwrapped,fp32,float32,True,True,False,False,False,True,False,,,False,False,,,False,False,False,False,False,True,28,0.09207142857142857,0.22467857142857142,3.5924285714285715,4.721,5.039,5.608392857142857,12.171107142857142,55.13267857142857
backward-nsys-rootcause-v1,NSYS-STREAM16-r1,outputs/backward-nsys-rootcause-v1/NSYS-STREAM16-r1,16 MiB streaming backward Nsight,failed,1,1786622322.5980535,1786622345.641597,22.928967900574207,Qwen/Qwen2.5-0.5B-Instruct,1,2,single_gpu_unwrapped,fp32,float32,True,True,False,False,False,True,True,16,3,True,True,True,True,True,True,False,False,False,True,0,,,,,,,,
core-memory-diagnostics-v1,O-PART-MEMTRACE-r1,outputs/core-memory-diagnostics-v1/O-PART-MEMTRACE-r1,CPU Adam / actor partial residency / allocator trace,failed,1,1786081910.7605925,1786081916.126878,5.3306914716959,Qwen/Qwen2.5-0.5B-Instruct,1,0,single_gpu_unwrapped,fp16,,True,True,False,False,False,True,False,,,False,False,,,False,False,,True,True,False,0,,,,,,,,
