output_group,runs,ok,failed,incomplete,first_started_at,last_finished_at,path
activation-fallback-smoke,2,2,0,0,2026-07-27T14:49:46.044690,2026-07-27T14:51:40.096300,outputs/activation-fallback-smoke
activation-fixed-full,9,7,2,0,2026-07-27T14:53:00.351518,2026-07-27T15:28:31.389718,outputs/activation-fixed-full
actor-phase-async-smoke,1,1,0,0,2026-08-06T16:11:18.231881,2026-08-06T16:13:29.567293,outputs/actor-phase-async-smoke
all-gpu-memory-diagnostic-v1,1,1,0,0,2026-08-07T14:28:04.374794,2026-08-07T14:28:56.738963,outputs/all-gpu-memory-diagnostic-v1
all-gpu-memory-diagnostic-v2,1,1,0,0,2026-08-07T14:35:12.025262,2026-08-07T14:36:10.079167,outputs/all-gpu-memory-diagnostic-v2
all-gpu-memory-diagnostic-v3,1,1,0,0,2026-08-07T14:36:42.592714,2026-08-07T14:37:43.649813,outputs/all-gpu-memory-diagnostic-v3
backward-nsys-rootcause-v1,2,1,1,0,2026-08-13T20:49:01.620301,2026-08-13T20:59:05.641597,outputs/backward-nsys-rootcause-v1
core-memory-diagnostics-v1,2,1,1,0,2026-08-07T14:47:23.579453,2026-08-07T14:51:56.126878,outputs/core-memory-diagnostics-v1
cpu-best-foreach-true-fp32-v1,1,1,0,0,2026-08-10T10:15:12.412440,2026-08-10T10:21:04.217045,outputs/cpu-best-foreach-true-fp32-v1
non-fsdp-unified-fp16-smoke-v1,1,1,0,0,2026-08-06T11:11:23.338641,2026-08-06T11:12:10.878430,outputs/non-fsdp-unified-fp16-smoke-v1
non-fsdp-unified-smoke-v1,9,9,0,0,2026-08-06T10:59:17.757729,2026-08-06T11:06:43.723343,outputs/non-fsdp-unified-smoke-v1
non-fsdp-unified-v1,48,48,0,0,2026-08-06T11:17:31.236666,2026-08-06T16:11:55.355842,outputs/non-fsdp-unified-v1
nostream-vs-16mib-direct-remeasure-v1,6,6,0,0,2026-08-13T14:22:51.673680,2026-08-13T14:55:35.441508,outputs/nostream-vs-16mib-direct-remeasure-v1
nostream-vs-16mib-telemetry-once-gpu1-v1,2,2,0,0,2026-08-13T18:44:02.967159,2026-08-13T18:55:00.784644,outputs/nostream-vs-16mib-telemetry-once-gpu1-v1
nostream-vs-16mib-telemetry-once-v1,2,2,0,0,2026-08-13T15:04:20.332791,2026-08-13T15:15:12.851378,outputs/nostream-vs-16mib-telemetry-once-v1
offload-c04-diagnostics-final,27,18,9,0,2026-07-28T13:02:07.798715,2026-07-28T13:22:19.397633,outputs/offload-c04-diagnostics-final
